TrackID,ParentID,AncestorID,ProgenyID,Generation,Fate,BirthTime,StopTime,Lifetime,Initial_Fluorescence,Final_Fluorescence,Initial_Differentiation,Final_Differentiation,Initial_Morphology,Final_Morphology,Initial_Binucleation,Final_Binucleation
80.000000,62.000000,3.000000,120.000000,6.000000,0.000000,6.159410,8.923681,2.764271,NA,NA,NA,NA,NA,NA,NA,NA
81.000000,62.000000,3.000000,121.000000,6.000000,2.000000,6.159410,8.326447,2.167037,NA,NA,NA,NA,NA,NA,NA,NA
82.000000,63.000000,3.000000,122.000000,6.000000,0.000000,6.367870,8.923681,2.555810,NA,NA,NA,NA,NA,NA,NA,NA
83.000000,63.000000,3.000000,123.000000,6.000000,0.000000,6.367870,8.923681,2.555810,NA,NA,NA,NA,NA,NA,NA,NA
84.000000,74.000000,3.000000,92.000000,6.000000,1.000000,7.076435,8.882002,1.805567,NA,NA,NA,NA,NA,NA,NA,NA
85.000000,74.000000,3.000000,93.000000,6.000000,1.000000,7.076435,8.673669,1.597234,NA,NA,NA,NA,NA,NA,NA,NA
86.000000,64.000000,3.000000,112.000000,6.000000,0.000000,6.687488,8.923681,2.236192,NA,NA,NA,NA,NA,NA,NA,NA
87.000000,64.000000,3.000000,113.000000,6.000000,0.000000,6.687488,8.923681,2.236192,NA,NA,NA,NA,NA,NA,NA,NA
88.000000,73.000000,3.000000,82.000000,6.000000,1.000000,6.729190,8.062581,1.333391,NA,NA,NA,NA,NA,NA,NA,NA
89.000000,73.000000,3.000000,83.000000,6.000000,0.000000,6.729190,8.923681,2.194491,NA,NA,NA,NA,NA,NA,NA,NA
90.000000,85.000000,3.000000,186.000000,7.000000,0.000000,8.687558,8.923681,0.236123,NA,NA,NA,NA,NA,NA,NA,NA
91.000000,85.000000,3.000000,187.000000,7.000000,0.000000,8.687558,8.923681,0.236123,NA,NA,NA,NA,NA,NA,NA,NA
92.000000,78.000000,3.000000,228.000000,7.000000,0.000000,7.757002,8.923681,1.166678,NA,NA,NA,NA,NA,NA,NA,NA
93.000000,78.000000,3.000000,229.000000,7.000000,0.000000,7.757002,8.923681,1.166678,NA,NA,NA,NA,NA,NA,NA,NA
94.000000,70.000000,3.000000,64.000000,6.000000,0.000000,7.770891,8.923681,1.152789,NA,NA,NA,NA,NA,NA,NA,NA
95.000000,NaN,4.000000,1.000000,0.000000,1.000000,0.000000,0.874850,0.874850,NA,NA,NA,NA,NA,NA,NA,NA
96.000000,95.000000,4.000000,2.000000,1.000000,1.000000,0.888738,1.722072,0.833333,NA,NA,NA,NA,NA,NA,NA,NA
97.000000,95.000000,4.000000,3.000000,1.000000,1.000000,0.888738,1.972083,1.083345,NA,NA,NA,NA,NA,NA,NA,NA
98.000000,96.000000,4.000000,4.000000,2.000000,1.000000,1.735972,2.694306,0.958333,NA,NA,NA,NA,NA,NA,NA,NA
99.000000,96.000000,4.000000,5.000000,2.000000,1.000000,1.735972,2.791539,1.055567,NA,NA,NA,NA,NA,NA,NA,NA
100.000000,97.000000,4.000000,6.000000,2.000000,1.000000,1.985961,3.208194,1.222234,NA,NA,NA,NA,NA,NA,NA,NA
101.000000,97.000000,4.000000,7.000000,2.000000,1.000000,1.985961,3.360984,1.375023,NA,NA,NA,NA,NA,NA,NA,NA
102.000000,98.000000,4.000000,8.000000,3.000000,1.000000,2.708194,3.666516,0.958322,NA,NA,NA,NA,NA,NA,NA,NA
